product_name,category,price_walmart,price_sobeys,price_zehrs,image,url_walmart,url_sobeys,url_zehrs,description
Maple Leaf Natural Less Salt Bacon,5,6.97,7.49,7.99,https://i5.walmartimages.ca/images/Enlarge/375/546/999999-63100375546.jpg,https://www.walmart.ca/en/ip/maple-leaf-natural-less-salt-bacon/6000187092298,https://voila.ca/products/389018EA/details,https://www.zehrs.ca/natural-less-salt-bacon/p/20772300_EA,"Enjoy delicious natural sugar free bacon with Maple Leaf Natural Less Salt Bacon. Made with natural ingredients and crafted from our quality cuts of pork, these bacon slices are perfectly seasoned with natural ingredients. Containing 25 percent less salt than regular bacon, Maple Leaf Natural Less Salt Bacon is a tasty addition to breakfast dishes, sandwiches, and salads. Made for families, the Maple Leaf brand offers premium meats using only natural ingredients with no artificial preservatives, flavours, colours, or sweeteners. Dedicated to providing wholesome, real food for Canadians for generations to come, Maple Leaf is the first major food company in the world to become carbon neutral. Join them in their commitment to build a more sustainable planet."
Maple Leaf Ready Crisp Fully Cooked Natural Bacon Slices,5,6.47,7.99,7.99,https://i5.walmartimages.ca/images/Enlarge/293/745/6000198293745.jpg,https://www.walmart.ca/en/ip/maple-leaf-ready-crisp-fully-cooked-natural-bacon-slices/6000187082624,https://voila.ca/products/505105EA/details,https://www.zehrs.ca/ready-crisp-fully-cooked-natural-bacon-slices/p/20164959_EA,"Enjoy delicious, gourmet crispy bacon with Maple Leaf Ready Crisp Fully Cooked Natural Bacon Slices. These pre-cooked bacon strips are made with quality cuts of pork carefully cooked to a perfect crisp. Seasoned with sea salt, cane sugar, spices, and smoke, this flavourful crispy bacon is fully cooked and ready to eat. Maple Leaf Ready Crisp natural bacon slices are a tasty and convenient addition to breakfast dishes, sandwiches, and salads, or can be enjoyed anytime as a satisfying snack. Made for families, the Maple Leaf brand offers premium meat using only natural ingredients with no artificial preservatives, flavours, colours, or sweeteners. Dedicated to providing wholesome, real food for Canadians for generations to come, Maple Leaf is the first major food company in the world to become carbon neutral. Join them in their commitment to build a more sustainable planet."
Schneiders Hickory Smoked Classic Cut Bacon,5,6.97,7.99,7.99,https://i5.walmartimages.ca/images/Enlarge/110/389/6000198110389.jpg,https://www.walmart.ca/en/ip/schneiders-hickory-smoked-classic-cut-bacon/6000193606706,https://voila.ca/products/874604EA/details,https://www.zehrs.ca/hickory-smoked-50-less-salt-bacon/p/20772637_EA,"Schneiders Hickory Smoked Classic Cut Bacon proves that when it comes to great bacon, there are no shortcuts for time and care. Though bacon seems simple, Schneiders has put decades of practice into perfecting the craft of this beloved breakfast food. It starts with the highest-quality pork belly, the ideal balance of salt and cane sugar in the brine, and a special mix of North American hickory and applewood for smoking. It is gently hung by hand to ensure it smokes evenly, then sliced nice and thick. Since 1890, Schneiders brand has established a rich heritage of original and authentic recipes, using premium ingredients and taking all the time needed to honour the origin and inspiration of each recipe. Quality never gets old."
Maple Lodge Farms The Original Chicken Wieners,5,2.57,2.99,2.99,https://i5.walmartimages.ca/images/Enlarge/455/014/6000198455014.jpg,https://www.walmart.ca/en/ip/maple-lodge-farms-the-original-chicken-wieners/6000187927811,https://voila.ca/products/5172EA/details,https://www.zehrs.ca/chicken-wiener/p/20062715_EA,"Whether you grill it, boil it, steam it, bake it, toast it or microwave it, these Chicken Wieners bring booming flavour with every bite."
Schneiders Juicy Jumbos All Beef Wieners,5,6.67,8.99,6.99,https://i5.walmartimages.ca/images/Enlarge/018/394/6310018394.jpg,https://www.walmart.ca/en/ip/schneiders-juicy-jumbos-all-beef-wieners/6000191268861,https://voila.ca/products/874607EA/details,https://www.zehrs.ca/juicy-jumbos-all-beef-wieners/p/20770591_EA,"Schneiders Juicy Jumbos All Beef Wieners are a delicious take on an iconic classic. These juicy hot dogs are crafted with our premium cuts of beef and a mix of signature spices for a perfect harmony of flavours. The result is a tasty and versatile beef hot dog that pairs perfectly with classic condiments. Since 1890, Schneiders brand has established a rich heritage of original and authentic recipes, using premium ingredients and taking all the time needed to honour the origin and inspiration of each recipe. Quality never gets old."
Lean Ground Beef,5,11.86,6.99,7,https://i5.walmartimages.ca/images/Enlarge/034/410/6000200034410.jpg,https://www.walmart.ca/en/ip/your-fresh-market-lean-ground-beef/6000198331069,https://voila.ca/products/660101EA/details,https://www.zehrs.ca/lean-ground-beef/p/21171674_EA,"Ground Beef can be used as a quick cooking form of beef. Can be used for hamburgers, meatballs, sloppy joe’s, & meatloaf. The possibilities are endless!"
Beef Stewing Cubes,5,19.78,13.33,9.04,https://i5.walmartimages.ca/images/Large/033/701/6000200033701.jpg,https://www.walmart.ca/en/ip/aaa-angus-beef-stewing-cubes-your-fresh-market/6000193605426,https://voila.ca/products/587914KG/details,https://www.zehrs.ca/beef-stewing-cubes-boneless/p/20797600_KG,"Stew meat pieces are pre-cut, lean chunks of meat such as beef, lamb, or poultry. Stewing helps to tenderize the meat and brings flavour to your soups, stews, or curries. Use stew meat to make beef and barley stew or a spicy goat curry."
Marcangelo Pork Kabobs,5,11.97,12.99,14.99,https://i5.walmartimages.ca/images/Enlarge/660/845/6000201660845.jpg,https://www.walmart.ca/en/ip/marcangelo-pork-kabobs/6000191275103,https://voila.ca/products/730539EA/details,https://www.zehrs.ca/pork-souvlaki-value-pack/p/21098855_EA,"Marcangelo Souvlaki delivers tender cuts of seasoned meat, ready for the grill. Marcangelo makes barbecuing dinner so easy!"
Atlantic Salmon Portion,5,13.53,11.99,5.49,https://i5.walmartimages.ca/images/Enlarge/415/373/6000204415373.jpg,https://www.walmart.ca/en/ip/atlantic-salmon-portion-your-fresh-market/6000203875296,https://voila.ca/products/805280EA/details,https://www.zehrs.ca/fresh-atlantic-salmon-portion-tray-pack/p/21018789_EA,"This tasty cut of salmon is sustainably sourced in Canada. Simply season with a blend of herbs and spices, then toss on the BBQ or the oven; it cooks to perfection in no time. Deliciously moist and flaky, it pairs well with salads, a bed of rice, or a medley of steamed veggies. Just add a squeeze of lemon to make the flavours sing."
NUGGS Plant Based Original Nuggets,5,7.97,7.99,9.99,https://i5.walmartimages.com/asr/b5385d76-a613-41ea-b8c8-a3cbbc11435b.82d9aa2cd2424e2b95a31646d3cea62f.jpeg,https://www.walmart.ca/en/ip/NUGGS-Plant-Based-Original-Nuggets/6000203728675,https://voila.ca/products/731440EA/details,https://www.zehrs.ca/original-plant-based-nuggets/p/21378262_EA,"Simulate NUGGS Original Plant-Based Nuggets are the world’s most accurate chicken nugget simulation. They look, taste and cook like a chicken nugget, but are 100% meat free and plant-based certified. Better for the environment and for you, NUGGS are an excellent source of protein with 17g per serving (vs 12g for the leading chicken nugget). These plant-based chicken nuggets contain no antibiotics, hormones, or cholesterol, and were developed with feedback from more than 30,000 consumers."
Yves Turkey,5,3.97,3.99,4.29,https://i5.walmartimages.ca/images/Enlarge/935/463/6000197935463.jpg,https://www.walmart.ca/en/ip/yves-turkey/6000196182247,https://voila.ca/products/115928EA/details,https://www.zehrs.ca/veggie-turkey-slices/p/20597352_EA,"Deliciously seasoned and made with soy protein, Veggie Turkey Slices are low in fat and let you enjoy the great flavour of turkey."
Yves Veggie Pepperoni,5,3.97,3.99,4.29,https://i5.walmartimages.ca/images/Enlarge/264/645/6000199264645.jpg,https://www.walmart.ca/en/ip/yves-veggie-pepperoni/6000196188005,https://voila.ca/products/112447EA/details,https://www.zehrs.ca/veggie-pizza-pepperoni/p/20597294_EA,"Perfect for meatless pizzas, the Veggie Pizza Pepperoni slices have the great taste of regular pepperoni but without any of the fat, cholesterol or preservatives. A truly innovative product from Yves Veggie Cuisine."
Lou's Kitchen Barbecue Pulled Pork In Lou's Barbecue Sauce,5,7.97,10.49,8.99,https://i5.walmartimages.ca/images/Enlarge/284/873/1284873.jpg,https://www.walmart.ca/en/ip/lous-kitchen-barbecue-pulled-pork-in-lous-barbecue-sauce/6000162309248,https://voila.ca/products/225251EA/details,https://www.zehrs.ca/pulled-pork/p/20182404_EA,Mouth Watering meals for delicious moments. Lou's Kitchen delivers chef crafted fully cooked dishes. Ready in Minutes. Lou's Kitchen Barbecue Pulled Pork is slow roasted at low temperatures for perfectly cooked tenderness. Mainated in chef inspired sauces and spices for succulent flavour.
Lou's Kitchen Original BBQ Pork Back Ribs,5,11.27,15.49,15.49,https://i5.walmartimages.ca/images/Enlarge/541/795/541795.jpg,https://www.walmart.ca/en/ip/lous-kitchen-original-bbq-pork-back-ribs/6000160804290,https://voila.ca/products/159958EA/details,https://www.zehrs.ca/bbq-pork-back-ribs/p/20148432_EA,Grab some aprons and lots of napkins as these fall of the bone ribs are sure to serve up many mouth-watering smiles. Simply heat up on the grill and smoky tender pork back ribs basted in a bold barbeque sauce will sure to turn your dinner into a rib fest!
Ham,5,6.63,1.99,3.66,https://www.zehrs.ca/free-from-black-forrest-ham-club-pack/p/20903492_EA,https://i5.walmartimages.ca/images/Enlarge/884/352/6000203884352.jpg,https://www.walmart.ca/en/ip/pillers-black-forest-ham/6000203691570,https://voila.ca/products/791202EA/details,"Made with vegetable grain-fed pork raised without the use of antibiotics or hormones, this tender black forest ham is perfect for both everyday and entertaining. Roll and skewer with Swiss cheese for easy appetizers, use in classic Monte Cristo sandwiches and fresh wraps or add to omelettes."
Bologna,5,1.67,2.49,1.99,https://www.zehrs.ca/blue-ribbon-classic-bologna/p/20039186_EA,https://i5.walmartimages.ca/images/Enlarge/000/282/999999-62000000282.jpg,https://www.walmart.ca/en/ip/schneiders-blue-ribbon-classic-bologna/6000191270037,https://voila.ca/products/3395EA/details,"Enjoy a flavourful sandwich with Schneiders® Blue Ribbon® Classic Bologna. Created using our signature recipe, these premium bologna slices are crafted from our premium cuts of meat finely ground and seasoned with a mild blend of spices for velvety texture and savoury taste. Since 1890, Schneiders Foods has established a rich heritage of original and authentic recipes, using premium ingredients and taking all the time needed to honour the origin and inspiration of each recipe. Quality never gets old™."
